@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}

@data
78,'2020/06/08 14:57:21:977',3,-738.170349,-623.230835,-312.487488,-764.752014,-932.308472,-496.169983,-226.311798,-550.614441,-0.411983,-0.362279,-31.506166,-839.118958,674.937622,-849.669495,-169.287994,-634.401001,782.206543,-628.78241,2,2
79,'2020/06/08 14:57:22:051',3,-739.259949,-623.054382,-312.912018,-764.706543,-933.116577,-495.756378,-226.770844,-550.488831,-0.412135,-0.361341,-29.783531,-837.537048,674.15564,-849.642639,-169.133026,-632.65155,787.47113,-630.374084,2,2
80,'2020/06/08 14:57:22:125',3,-739.32959,-618.635315,-312.881897,-765.653625,-933.573669,-490.124847,-227.000504,-550.787048,-0.413249,-0.356111,-30.960693,-837.814026,672.545715,-847.931519,-171.073639,-633.172363,786.155273,-628.470398,2,2
81,'2020/06/08 14:57:22:198',3,-738.849548,-617.704163,-313.849304,-765.283081,-933.176575,-489.601624,-227.898544,-550.481079,-0.411584,-0.356332,-31.514347,-836.620422,672.650208,-848.102234,-170.809586,-632.828857,783.848022,-628.109802,2,2
82,'2020/06/08 14:57:22:273',3,-738.491882,-617.714722,-313.679413,-765.778198,-933.078674,-489.807556,-227.640869,-551.06488,-0.410791,-0.355803,-31.172127,-837.315002,674.01825,-848.635864,-170.99791,-633.45929,783.787842,-627.98938,2,2
83,'2020/06/08 14:57:22:347',3,-738.491882,-617.714722,-313.679413,-765.778198,-933.078674,-489.807556,-227.640869,-551.06488,-0.410791,-0.355803,-31.125694,-840.004395,677.670349,-847.661072,-169.360641,-634.574524,782.83252,-625.50177,2,2
84,'2020/06/08 14:57:52:701',4,-47.264858,-514.817566,-620.241638,-785.212463,-259.943268,-567.275269,-846.874878,-786.42749,-0.864794,-0.869104,237.621704,-640.082031,532.698425,-862.821045,115.977158,-527.218872,385.961334,-759.075195,3,3
85,'2020/06/08 14:57:52:777',4,-52.604019,-518.279602,-618.299988,-769.045044,-264.341003,-569.432739,-843.47406,-790.881348,-0.837124,-0.777942,237.23999,-638.466125,532.477722,-863.184937,115.504318,-524.824829,385.762604,-759.20813,3,3
86,'2020/06/08 14:57:52:852',4,237.23999,-638.466125,532.477722,-863.184937,115.504318,-524.824829,385.762604,-759.20813,-0.870911,-1.042973,-52.829906,-515.835632,-611.550049,-785.639648,-265.223816,-569.499573,-838.831177,-792.568481,3,3
87,'2020/06/08 14:57:52:925',4,237.23999,-638.466125,532.477722,-863.184937,115.504318,-524.824829,385.762604,-759.20813,-0.870911,-1.042973,-50.728054,-514.37384,-617.451233,-791.935669,-263.944244,-569.355957,-844.977661,-796.186157,3,3
