@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}

@data
71,'2020/05/08 10:54:06:767',3,-567.540466,-941.687439,164.729858,-24.500088,-463.513367,-750.514221,163.428192,-217.902924,-0.047879,-0.292995,3
72,'2020/05/08 10:54:06:835',3,-568.280396,-940.191101,162.513657,-23.666576,-464.838562,-749.415405,163.586014,-217.414078,-0.041862,-0.30009,3
73,'2020/05/08 10:54:06:902',3,-568.775574,-940.185669,164.376999,-23.55875,-464.102631,-749.061584,163.194473,-217.927002,-0.047691,-0.291831,3
74,'2020/05/08 10:54:06:971',3,-568.927979,-940.532471,165.867538,-25.061861,-462.547424,-751.293213,164.089264,-217.666977,-0.050915,-0.299835,3
75,'2020/05/08 10:54:07:039',3,-567.141602,-941.030273,166.98703,-28.707684,-460.640137,-751.809692,165.438492,-219.1082,-0.0477,-0.299236,3
76,'2020/05/08 10:54:07:113',3,-568.063232,-941.24707,161.48819,-24.341942,-460.649048,-751.581787,166.104935,-218.896927,-0.048111,-0.30333,3
77,'2020/05/08 10:54:07:181',3,-565.029541,-940.66394,162.427353,-25.322214,-459.750305,-750.539429,165.756546,-218.691711,-0.037927,-0.302469,3
78,'2020/05/08 10:54:07:247',3,-565.493225,-940.53064,163.957825,-24.541452,-459.980377,-750.832458,166.401123,-218.74324,-0.043671,-0.303279,3
79,'2020/05/08 10:54:07:322',3,-565.335938,-942.467834,165.690521,-25.064199,-460.177948,-752.007507,166.151108,-218.429474,-0.034056,-0.302823,3
80,'2020/05/08 10:54:07:385',3,-565.335938,-942.467834,165.690521,-25.064199,-460.177948,-752.007507,166.151108,-218.429474,-0.034056,-0.302823,3
81,'2020/05/08 10:54:07:452',3,-564.052307,-942.551575,167.102737,-25.601254,-460.170502,-752.205261,165.846558,-218.290237,-0.033415,-0.300894,3
82,'2020/05/08 10:54:07:529',3,-564.220215,-942.696106,164.345337,-25.918707,-461.033966,-752.642883,166.441513,-218.492981,-0.045549,-0.304224,3
83,'2020/05/08 10:54:07:605',3,-564.054749,-945.538696,166.353622,-25.736601,-460.567657,-754.4953,166.194595,-218.036835,-0.046102,-0.297789,3
84,'2020/05/08 10:54:07:677',3,-564.549561,-946.596802,166.283035,-26.957184,-460.195068,-755.693787,166.088577,-218.111389,-0.045608,-0.297548,3
85,'2020/05/08 10:54:07:751',3,-567.438171,-945.904846,161.037766,-22.672325,-460.890045,-754.824158,161.598648,-217.201981,-0.045796,-0.297601,3
86,'2020/05/08 10:54:32:379',4,-285.412537,-1164.594116,124.11335,-63.786758,-336.841949,-932.36731,102.964981,-258.628784,0.026846,-0.152701,4
87,'2020/05/08 10:54:32:454',4,-285.684265,-1167.697754,122.722542,-63.657761,-335.448242,-934.647827,102.797997,-258.768982,0.027439,-0.153319,4
88,'2020/05/08 10:54:32:526',4,-285.937134,-1167.88269,122.134109,-62.874557,-335.71167,-934.55957,102.872833,-258.057526,0.024183,-0.155667,4
89,'2020/05/08 10:54:32:606',4,-289.742767,-1166.18042,122.140823,-62.488438,-337.949249,-932.865906,102.845001,-258.168976,0.022226,-0.159619,4
90,'2020/05/08 10:54:32:680',4,-288.998199,-1165.860962,121.765648,-62.230259,-338.169769,-933.077209,103.129402,-257.994965,0.018184,-0.155672,4
91,'2020/05/08 10:54:32:751',4,-290.098602,-1165.20459,125.701157,-62.726559,-340.177185,-932.602295,103.341835,-258.683563,0.026679,-0.153618,4
92,'2020/05/08 10:54:32:826',4,-289.771667,-1164.848145,126.42907,-63.231796,-340.09552,-932.800964,103.383339,-258.979858,0.017651,-0.153772,4
93,'2020/05/08 10:54:32:894',4,-289.634064,-1165.215332,126.579788,-63.767925,-340.494446,-933.16864,103.570435,-259.19693,0.018826,-0.155441,4
94,'2020/05/08 10:54:32:961',4,-289.130341,-1163.040405,125.927361,-63.050434,-341.066803,-931.742065,103.455528,-260.156189,0.020023,-0.159519,4
95,'2020/05/08 10:54:33:030',4,-290.34201,-1163.901245,126.748192,-63.393162,-340.534973,-931.979553,103.675186,-259.756287,0.023445,-0.155102,4
96,'2020/05/08 10:54:33:100',4,-292.780426,-1161.915039,125.257553,-62.420071,-342.663452,-930.544373,103.699997,-259.585724,0.019552,-0.157129,4
97,'2020/05/08 10:54:33:169',4,-292.328217,-1160.317749,125.475746,-65.69603,-340.825806,-929.136658,103.721695,-260.381897,0.021075,-0.163045,4
98,'2020/05/08 10:54:33:242',4,-293.411896,-1161.936646,125.122871,-64.923775,-340.462433,-929.597229,104.067009,-260.157715,0.017814,-0.16055,4
99,'2020/05/08 10:54:33:312',4,-293.633301,-1162.614502,123.942841,-64.79776,-341.227783,-929.766418,103.338921,-260.57782,0.016146,-0.161079,4
100,'2020/05/08 10:54:33:381',4,-297.192047,-1164.30249,127.644958,-64.894363,-341.372284,-930.808472,103.817955,-258.950745,0.039386,-0.167315,4
101,'2020/05/08 10:54:33:448',4,-297.274933,-1162.859619,122.180473,-64.999001,-343.405609,-930.541016,103.405029,-259.936798,0.011127,-0.164618,4
